Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos,RES_Annual_0m,RES_Annual_50m,RES_Annual_75m,RES_Annual_100m,RES_Annual_0-75m,RES_Annual_0-100m,RES_Annual_0-200m,RES_jan-mar_0m,RES_jan-mar_50m,RES_jan-mar_75m,RES_jan-mar_100m,RES_jan-mar_0-75m,RES_jan-mar_0-100m,RES_jan-mar_0-200m,RES_jul-sep_0m,RES_jul-sep_50m,RES_jul-sep_75m,RES_jul-sep_100m,RES_jul-sep_0-75m,RES_jul-sep_0-100m,RES_jul-sep_0-200m
0,0.002,0.005,0.02,0.004,0.081,0,0.37,0.076,0,0.231,0,0,0,0,0,0,0,0.002,0,0.002,0.012,0.04,0,0,0.146,0.009,11.3677,10.7922,10.3833,10.1877,11.0828,10.914,10.6976,9.68957,9.67053,9.64109,9.63014,9.6157,9.61181,9.60069,13.6824,12.0319,10.9118,10.5225,12.8384,12.3457,11.7849
0,0,0,0.012,0,0.046,0,0.317,0.034,0,0.258,0,0,0,0,0,0,0,0,0,0,0.005,0.101,0,0,0.226,0.001,10.3701,9.8297,9.49275,9.33394,9.98744,9.84092,9.67348,8.85516,8.83631,8.82538,8.82062,8.89115,8.88141,8.87356,12.5618,11.0178,10.0315,9.68668,11.4603,11.0409,10.5875
0,0.001998002,0.005994006,0.00999001,0,0.046953047,0,0.368631369,0.030969031,0,0.273726274,0,0,0,0.001998002,0,0,0,0.001998002,0,0,0,0.042957043,0,0,0.207792208,0.006993007,10.3701,9.8297,9.49275,9.33394,9.98744,9.84092,9.67348,8.85516,8.83631,8.82538,8.82062,8.89115,8.88141,8.87356,12.5618,11.0178,10.0315,9.68668,11.4603,11.0409,10.5875
0,0,0,0.013,0,0.026,0,0.384,0.036,0,0.2,0,0,0,0.003,0,0,0,0,0,0,0,0.108,0,0,0.229,0.001,10.6773,10.091,9.7334,9.56378,10.1674,10.0056,9.8239,9.17717,9.14564,9.13259,9.1247,9.15984,9.15532,9.1498,12.8785,11.2114,10.1797,9.83398,11.5222,11.0489,10.5618
0,0,0,0.012,0,0.046,0,0.317,0.034,0,0.258,0,0,0,0,0,0,0,0,0,0,0.005,0.101,0,0,0.226,0.001,10.3701,9.8297,9.49275,9.33394,9.98744,9.84092,9.67348,8.85516,8.83631,8.82538,8.82062,8.89115,8.88141,8.87356,12.5618,11.0178,10.0315,9.68668,11.4603,11.0409,10.5875
0.000997009,0,0.003988036,0.003988036,0.013958126,0.074775673,0.010967099,0.52442672,0.007976072,0,0.153539382,0.003988036,0,0,0,0,0,0,0.00997009,0,0.005982054,0.00997009,0,0,0,0.160518445,0.014955135,13.7059,12.4423,11.8216,11.563,12.9477,12.6524,12.3161,11.3679,11.3271,11.3275,11.3337,11.3913,11.3787,11.3679,16.7856,13.3432,11.9814,11.5882,14.7623,14.0084,13.2438
0,0.035035035,0.004004004,0.005005005,0.031031031,0.031031031,0.001001001,0.021021021,0.001001001,0.008008008,0.095095095,0.039039039,0.004004004,0,0.388388388,0.014014014,0.035035035,0.001001001,0.007007007,0.003003003,0.017017017,0.026026026,0,0,0,0.161161161,0.072072072,20.8709,19.8185,18.8307,18.1457,20.166,19.7633,19.1952,18.7265,18.5984,18.5503,18.3834,18.6397,18.6317,18.4755,23.1546,20.5928,18.8296,17.9951,21.3928,20.5965,19.7028
0,0.002002002,0.002002002,0.009009009,0.023023023,0.12012012,0,0.412412412,0.004004004,0,0.222222222,0,0,0,0.032032032,0,0,0,0.03003003,0.002002002,0.014014014,0.007007007,0.002002002,0,0,0.109109109,0.009009009,14.7789,13.4459,12.671,12.3173,13.8558,13.4652,13.0358,12.3214,12.23,12.2005,12.1723,12.1704,12.1579,12.1312,17.9408,14.3719,12.7766,12.2874,15.6642,14.7364,13.8448
0,0,0.001001001,0.025025025,0.02002002,0.113113113,0,0.393393393,0.018018018,0,0.219219219,0,0,0,0.023023023,0,0,0,0.016016016,0.001001001,0.004004004,0.021021021,0.008008008,0,0,0.13013013,0.007007007,14.1789,12.9849,12.3055,12.0038,13.2943,12.9705,12.6138,11.8943,11.8217,11.7994,11.7801,11.7566,11.7491,11.734,17.2012,13.9144,12.4634,12.0296,14.9792,14.193,13.4282
0.001996008,0,0.082834331,0.003992016,0.010978044,0,0.051896208,0,0,0.062874251,0.010978044,0.010978044,0.006986028,0.047904192,0.29241517,0,0.047904192,0,0.062874251,0.006986028,0.117764471,0.035928144,0,0.008982036,0,0.094810379,0.040918164,24.0408,23.2387,22.3842,21.5341,24.7692,24.3378,23.461,20.7463,21.4708,21.2857,20.9805,22.679,22.4869,21.988,27.6793,24.756,23.0225,21.7347,26.8546,26.0187,24.6418
