Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos
0,0.008359457,0,0,0.011494253,0.095088819,0.006269592,0.081504702,0.011494253,0,0.439916405,0.026123302,0,0,0.008359457,0,0.029258098,0,0.006269592,0,0.0553814,0.014629049,0.081504702,0.026123302,0,0.098223615,0
0,0.102822581,0,0.019153226,0.043346774,0.321572581,0,0.189516129,0,0,0.019153226,0,0,0,0.010080645,0.022177419,0.146169355,0,0.099798387,0,0.004032258,0.01108871,0,0,0,0.001008065,0.010080645
0,0.013471503,0,0.024870466,0.05492228,0.111917098,0,0.230051813,0.002072539,0,0.256994819,0.038341969,0,0.004145078,0.029015544,0.002072539,0.009326425,0,0.022797927,0,0.029015544,0.022797927,0.015544041,0.01865285,0,0.106735751,0.007253886
0,0.012295082,0,0.016393443,0.00204918,0.080942623,0,0.088114754,0.005122951,0.005122951,0.387295082,0.021516393,0,0,0.019467213,0,0.045081967,0,0.012295082,0,0.057377049,0.019467213,0.082991803,0.030737705,0,0.092213115,0.021516393
0,0.020325203,0,0.010162602,0.012195122,0.094512195,0.00101626,0.153455285,0,0.00304878,0.305894309,0.031504065,0,0.00101626,0.045731707,0.012195122,0.087398374,0.005081301,0.019308943,0,0.016260163,0.018292683,0.010162602,0.038617886,0,0.086382114,0.027439024
0,0.036144578,0,0.016064257,0.020080321,0.209839357,0.001004016,0.105421687,0,0.001004016,0.13253012,0.044176707,0,0.010040161,0.077309237,0.017068273,0.088353414,0.004016064,0.076305221,0,0.031124498,0.001004016,0.016064257,0.024096386,0,0.044176707,0.044176707
0,0.001998002,0.002997003,0.015984016,0.025974026,0.111888112,0,0.347652348,0.024975025,0,0.258741259,0.006993007,0,0,0.022977023,0.000999001,0,0,0.016983017,0.000999001,0.007992008,0.00999001,0.013986014,0,0,0.11988012,0.008991009
0,0.032921811,0,0.08436214,0.034979424,0.137860082,0.00617284,0.172839506,0.016460905,0,0.125514403,0.131687243,0,0.004115226,0.057613169,0.004115226,0,0.008230453,0.008230453,0,0.008230453,0.016460905,0.020576132,0.012345679,0,0.076131687,0.041152263
0,0.033,0,0.084,0.035,0.138,0.031,0.148,0.016,0,0.126,0.132,0,0.004,0.058,0.004,0,0.008,0.008,0,0.008,0.016,0.021,0.012,0,0.076,0.042
0.012974052,0.00499002,0,0.00998004,0.086826347,0.099800399,0,0.00499002,0,0,0.012974052,0.083832335,0.00499002,0.017964072,0.429141717,0.00499002,0.00499002,0.050898204,0.002994012,0,0.037924152,0,0,0.01497006,0,0.111776447,0.002994012
0.014527845,0.004842615,0,0.00968523,0.082324455,0.094430993,0,0.004842615,0,0,0.02905569,0.089588378,0.004842615,0.01937046,0.404358354,0.004842615,0.004842615,0.050847458,0.002421308,0,0.036319613,0.004842615,0,0.016949153,0,0.104116223,0.016949153
0,0.003125,0.003125,0,0.00625,0.178125,0.153125,0.38125,0.046875,0,0.071875,0.0125,0,0,0,0.00625,0,0,0,0,0,0,0.01875,0,0,0.1,0.01875
0,0.01994302,0.001424501,0,0.018518519,0.230769231,0.011396011,0.317663818,0.133903134,0,0.213675214,0.004273504,0.001424501,0,0.005698006,0,0.001424501,0,0,0,0,0,0.005698006,0,0,0.01994302,0.014245014
